0,1,2
train_val_images/Plantae/Vinca minor/f78e1ca971dce1f39ec3d2e8758b40b4.jpg,0,Plantae
train_val_images/Plantae/Acer macrophyllum/42b3b090f254578048fcfa6a8f7866b1.jpg,0,Plantae
train_val_images/Plantae/Nuphar advena/b7b3ded9ee10206db421fdedfdfda974.jpg,0,Plantae
train_val_images/Plantae/Quercus gambelii/ba2663cc2af64e5d40c54929d0d79cf8.jpg,0,Plantae
train_val_images/Plantae/Rhus typhina/51d053afb94ec86427608894dc86e33c.jpg,0,Plantae
train_val_images/Plantae/Actaea pachypoda/26cbf80f17b3eea97649b2bc1ec38c9c.jpg,0,Plantae
train_val_images/Plantae/Epipactis helleborine/34c8474050d48bd63364bce330816434.jpg,0,Plantae
train_val_images/Plantae/Securigera varia/b37ee59bf9228f37604521498691c069.jpg,0,Plantae
train_val_images/Plantae/Polystichum vestitum/1a46f8a23df7581f4c19c33a61e7de76.jpg,0,Plantae
train_val_images/Plantae/Cocculus carolinus/2870e4d6b7924a560528c06450d85606.jpg,0,Plantae
train_val_images/Plantae/Lupinus albifrons/9d9b483d6050d29528f7017231740c77.jpg,0,Plantae
train_val_images/Plantae/Alliaria petiolata/ba0c50eeabc00b6bcb7c5acb153fd457.jpg,0,Plantae
train_val_images/Plantae/Pinus strobus/2592764c94a38b6b1ad9eb551f1b8c7d.jpg,0,Plantae
train_val_images/Plantae/Polystichum munitum/546e0d75775d24b66bce20c309856268.jpg,0,Plantae
train_val_images/Plantae/Pseudognaphalium californicum/c6fc1a7226dd75a0e08caf6fd61ea926.jpg,0,Plantae
train_val_images/Plantae/Lobularia maritima/23b04b22f3b97c3d250d7b6e1084eea2.jpg,0,Plantae
train_val_images/Plantae/Pinus strobus/04569cad0bd53e349002f6987d8dffa2.jpg,0,Plantae
train_val_images/Plantae/Cercis canadensis/a7fca6046b4dab2bd4c5a2dbf8f97d38.jpg,0,Plantae
train_val_images/Plantae/Acmispon glaber/2893e4a99c15a86638cbcbb96974ed87.jpg,0,Plantae
train_val_images/Plantae/Lamium purpureum/b6b4b7f48922d5ac0da1d593fed26209.jpg,0,Plantae
train_val_images/Plantae/Bidens frondosa/b7facca30413c3ca1da36c19e1fd14d0.jpg,0,Plantae
train_val_images/Plantae/Onoclea sensibilis/eb158b8114ea2e410201ad372879f4e9.jpg,0,Plantae
train_val_images/Plantae/Sequoia sempervirens/96cb9e1cd4f3ef4861d45ef8a1db4ce7.jpg,0,Plantae
train_val_images/Plantae/Quercus rubra/08b89920574fc19d427830e3a3b3282e.jpg,0,Plantae
train_val_images/Plantae/Mimulus guttatus/031893fcf20e378dd7fa7cd53c154840.jpg,0,Plantae
train_val_images/Plantae/Piper excelsum excelsum/4fad314b9f48cfa34426eab991e90617.jpg,0,Plantae
train_val_images/Plantae/Toxicodendron diversilobum/8e990dcbb6bec8fb434bb93a07cbd84b.jpg,0,Plantae
train_val_images/Plantae/Ulmus americana/36f459cb5427c4472dc8c02f4e3152a2.jpg,0,Plantae
train_val_images/Plantae/Polystichum munitum/2ff18d3e143b2883f75f2d1c3c682a41.jpg,0,Plantae
train_val_images/Plantae/Umbellularia californica/fce6b975375e18f018e15e152ee4eb89.jpg,0,Plantae
train_val_images/Plantae/Clintonia borealis/47b1046614155d51cba705771747c0c5.jpg,0,Plantae
