file,targets
a/airfield/00003567.jpg,0
a/airfield/00004253.jpg,0
a/airfield/00001919.jpg,0
a/airfield/00004112.jpg,0
a/airfield/00001472.jpg,0
a/airfield/00000930.jpg,0
a/airfield/00001917.jpg,0
a/airfield/00003996.jpg,0
a/airfield/00001131.jpg,0
a/airfield/00001724.jpg,0
a/airfield/00002385.jpg,0
a/airfield/00004201.jpg,0
a/airfield/00000089.jpg,0
a/airfield/00001779.jpg,0
a/airfield/00001429.jpg,0
a/airfield/00000318.jpg,0
a/airfield/00002783.jpg,0
a/airfield/00002657.jpg,0
a/airfield/00000967.jpg,0
a/airfield/00002080.jpg,0
a/airfield/00000036.jpg,0
a/airfield/00000672.jpg,0
a/airfield/00002392.jpg,0
a/airfield/00001636.jpg,0
a/airfield/00003775.jpg,0
a/airfield/00001576.jpg,0
a/airfield/00002225.jpg,0
a/airfield/00000564.jpg,0
a/airfield/00000939.jpg,0
a/airfield/00001421.jpg,0
a/airfield/00002521.jpg,0
a/airfield/00001072.jpg,0
a/airfield/00002811.jpg,0
a/airfield/00003551.jpg,0
a/airfield/00000739.jpg,0
a/airfield/00002248.jpg,0
a/airfield/00000550.jpg,0
a/airfield/00004294.jpg,0
a/airfield/00002644.jpg,0
a/airfield/00001026.jpg,0
a/airfield/00003677.jpg,0
a/airfield/00001203.jpg,0
a/airfield/00004810.jpg,0
a/airfield/00004244.jpg,0
a/airfield/00000800.jpg,0
a/airfield/00004547.jpg,0
a/airfield/00003808.jpg,0
a/airfield/00004535.jpg,0
a/airfield/00004842.jpg,0
a/airfield/00000187.jpg,0
a/airfield/00000122.jpg,0
a/airfield/00003282.jpg,0
a/airfield/00004468.jpg,0
a/airfield/00004807.jpg,0
a/airfield/00000825.jpg,0
a/airfield/00002835.jpg,0
a/airfield/00003733.jpg,0
a/airfield/00002381.jpg,0
a/airfield/00002660.jpg,0
a/airfield/00002578.jpg,0
a/airfield/00004074.jpg,0
a/airfield/00001584.jpg,0
a/airfield/00001753.jpg,0
a/airfield/00001035.jpg,0
a/airfield/00001081.jpg,0
a/airfield/00002711.jpg,0
a/airfield/00001555.jpg,0
a/airfield/00003056.jpg,0
a/airfield/00000219.jpg,0
a/airfield/00002782.jpg,0
a/airfield/00001441.jpg,0
a/airfield/00002279.jpg,0
a/airfield/00001665.jpg,0
a/airfield/00003534.jpg,0
a/airfield/00004840.jpg,0
a/airfield/00002842.jpg,0
a/airfield/00003439.jpg,0
a/airfield/00004783.jpg,0
a/airfield/00000259.jpg,0
a/airfield/00000577.jpg,0
a/airfield/00003920.jpg,0
a/airfield/00003082.jpg,0
a/airfield/00004822.jpg,0
a/airfield/00000745.jpg,0
a/airfield/00004224.jpg,0
a/airfield/00003976.jpg,0
a/airfield/00001549.jpg,0
a/airfield/00001940.jpg,0
a/airfield/00001710.jpg,0
a/airfield/00000936.jpg,0
a/airfield/00000522.jpg,0
a/airfield/00004921.jpg,0
a/airfield/00002129.jpg,0
a/airfield/00003410.jpg,0
a/airfield/00003134.jpg,0
a/airfield/00004537.jpg,0
a/airfield/00000329.jpg,0
a/airfield/00001928.jpg,0
a/airfield/00004330.jpg,0
a/airfield/00002230.jpg,0
a/airfield/00001987.jpg,0
a/airfield/00003423.jpg,0
a/airfield/00000281.jpg,0
a/airfield/00000375.jpg,0
a/airfield/00000323.jpg,0
a/airfield/00000130.jpg,0
a/airfield/00003737.jpg,0
a/airfield/00002608.jpg,0
a/airfield/00001909.jpg,0
a/airfield/00003211.jpg,0
a/airfield/00000120.jpg,0
a/airfield/00004924.jpg,0
a/airfield/00000199.jpg,0
a/airfield/00000706.jpg,0
a/airfield/00004756.jpg,0
a/airfield/00002162.jpg,0
a/airfield/00003970.jpg,0
a/airfield/00000863.jpg,0
a/airfield/00000886.jpg,0
a/airfield/00002067.jpg,0
a/airfield/00002409.jpg,0
a/airfield/00000823.jpg,0
a/airfield/00004181.jpg,0
a/airfield/00003601.jpg,0
a/airfield/00004994.jpg,0
a/airfield/00002390.jpg,0
a/airfield/00002977.jpg,0
